ID;Cars;Commute Distance;Region;Purchased Bike;ID für JSON Darstellung;Für JSON-Darstellung
12496;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""12496"" }},";"{""data"": { ""id"":""12496"" }},"
24107;1;0-1 Miles;Europe;No;"{""data"": { ""id"":""24107"" }},";"{""data"": { ""id"":""24107"" }},"
14177;2;2-5 Miles;Europe;No;"{""data"": { ""id"":""14177"" }},";"{""data"": { ""id"":""14177"" }},"
24381;1;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""24381"" }},";"{""data"": { ""id"":""24381"" }},"
25597;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""25597"" }},";"{""data"": { ""id"":""25597"" }},"
13507;0;1-2 Miles;Europe;No;"{""data"": { ""id"":""13507"" }},";"{""data"": { ""id"":""13507"" }},"
27974;4;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""27974"" }},";"{""data"": { ""id"":""27974"" }},"
19364;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""19364"" }},";"{""data"": { ""id"":""19364"" }},"
22155;2;5-10 Miles;Pacific;No;"{""data"": { ""id"":""22155"" }},";"{""data"": { ""id"":""22155"" }},"
19280;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""19280"" }},";"{""data"": { ""id"":""19280"" }},"
22173;2;1-2 Miles;Pacific;Yes;"{""data"": { ""id"":""22173"" }},";"{""data"": { ""id"":""22173"" }},"
12697;4;10+ Miles;Pacific;No;"{""data"": { ""id"":""12697"" }},";"{""data"": { ""id"":""12697"" }},"
11434;4;0-1 Miles;Europe;No;"{""data"": { ""id"":""11434"" }},";"{""data"": { ""id"":""11434"" }},"
25323;1;1-2 Miles;Europe;Yes;"{""data"": { ""id"":""25323"" }},";"{""data"": { ""id"":""25323"" }},"
23542;1;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""23542"" }},";"{""data"": { ""id"":""23542"" }},"
20870;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""20870"" }},";"{""data"": { ""id"":""20870"" }},"
23316;2;1-2 Miles;Pacific;Yes;"{""data"": { ""id"":""23316"" }},";"{""data"": { ""id"":""23316"" }},"
12610;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""12610"" }},";"{""data"": { ""id"":""12610"" }},"
27183;1;1-2 Miles;Europe;Yes;"{""data"": { ""id"":""27183"" }},";"{""data"": { ""id"":""27183"" }},"
25940;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""25940"" }},";"{""data"": { ""id"":""25940"" }},"
25598;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""25598"" }},";"{""data"": { ""id"":""25598"" }},"
21564;4;10+ Miles;Pacific;No;"{""data"": { ""id"":""21564"" }},";"{""data"": { ""id"":""21564"" }},"
19193;0;1-2 Miles;Europe;Yes;"{""data"": { ""id"":""19193"" }},";"{""data"": { ""id"":""19193"" }},"
26412;3;5-10 Miles;Europe;No;"{""data"": { ""id"":""26412"" }},";"{""data"": { ""id"":""26412"" }},"
27184;1;0-1 Miles;Europe;No;"{""data"": { ""id"":""27184"" }},";"{""data"": { ""id"":""27184"" }},"
12590;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""12590"" }},";"{""data"": { ""id"":""12590"" }},"
17841;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""17841"" }},";"{""data"": { ""id"":""17841"" }},"
18283;1;5-10 Miles;Pacific;No;"{""data"": { ""id"":""18283"" }},";"{""data"": { ""id"":""18283"" }},"
18299;2;5-10 Miles;Pacific;No;"{""data"": { ""id"":""18299"" }},";"{""data"": { ""id"":""18299"" }},"
16466;2;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""16466"" }},";"{""data"": { ""id"":""16466"" }},"
19273;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""19273"" }},";"{""data"": { ""id"":""19273"" }},"
22400;1;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""22400"" }},";"{""data"": { ""id"":""22400"" }},"
20942;1;5-10 Miles;Europe;No;"{""data"": { ""id"":""20942"" }},";"{""data"": { ""id"":""20942"" }},"
18484;2;1-2 Miles;Pacific;Yes;"{""data"": { ""id"":""18484"" }},";"{""data"": { ""id"":""18484"" }},"
12291;2;2-5 Miles;Europe;Yes;"{""data"": { ""id"":""12291"" }},";"{""data"": { ""id"":""12291"" }},"
28380;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""28380"" }},";"{""data"": { ""id"":""28380"" }},"
17891;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""17891"" }},";"{""data"": { ""id"":""17891"" }},"
27832;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""27832"" }},";"{""data"": { ""id"":""27832"" }},"
26863;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""26863"" }},";"{""data"": { ""id"":""26863"" }},"
16259;2;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""16259"" }},";"{""data"": { ""id"":""16259"" }},"
27803;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""27803"" }},";"{""data"": { ""id"":""27803"" }},"
14347;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""14347"" }},";"{""data"": { ""id"":""14347"" }},"
17703;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""17703"" }},";"{""data"": { ""id"":""17703"" }},"
17185;3;5-10 Miles;Europe;Yes;"{""data"": { ""id"":""17185"" }},";"{""data"": { ""id"":""17185"" }},"
