ID;Commute Distance;Region;Purchased Bike;;ID,Commute Distance,Region,Purchased Bike;ID,Commute Distance,Region,Purchased Bike;;;;;
12496;0-1 Miles;Europe;No;;12496,0-1 Miles,Europe,No;12496,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""12496"" }},";"{""data"": { ""id"":""12496"" }},"
24107;0-1 Miles;Europe;No;;24107,0-1 Miles,Europe,No;24107,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""24107"" }},";"{""data"": { ""id"":""24107"" }},"
14177;2-5 Miles;Europe;No;;14177,2-5 Miles,Europe,No;14177,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""14177"" }},";"{""data"": { ""id"":""14177"" }},"
24381;5-10 Miles;Pacific;Yes;;24381,5-10 Miles,Pacific,Yes;24381,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""24381"" }},";"{""data"": { ""id"":""24381"" }},"
25597;0-1 Miles;Europe;Yes;;25597,0-1 Miles,Europe,Yes;25597,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""25597"" }},";"{""data"": { ""id"":""25597"" }},"
13507;1-2 Miles;Europe;No;;13507,1-2 Miles,Europe,No;13507,1-2 Miles,Europe,No;;;;"{""data"": { ""id"":""13507"" }},";"{""data"": { ""id"":""13507"" }},"
27974;0-1 Miles;Pacific;Yes;;27974,0-1 Miles,Pacific,Yes;27974,0-1 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""27974"" }},";"{""data"": { ""id"":""27974"" }},"
19364;0-1 Miles;Europe;Yes;;19364,0-1 Miles,Europe,Yes;19364,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""19364"" }},";"{""data"": { ""id"":""19364"" }},"
22155;5-10 Miles;Pacific;No;;22155,5-10 Miles,Pacific,No;22155,5-10 Miles,Pacific,No;;;;"{""data"": { ""id"":""22155"" }},";"{""data"": { ""id"":""22155"" }},"
19280;0-1 Miles;Europe;Yes;;19280,0-1 Miles,Europe,Yes;19280,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""19280"" }},";"{""data"": { ""id"":""19280"" }},"
22173;1-2 Miles;Pacific;Yes;;22173,1-2 Miles,Pacific,Yes;22173,1-2 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""22173"" }},";"{""data"": { ""id"":""22173"" }},"
12697;10+ Miles;Pacific;No;;12697,10+ Miles,Pacific,No;12697,10+ Miles,Pacific,No;;;;"{""data"": { ""id"":""12697"" }},";"{""data"": { ""id"":""12697"" }},"
11434;0-1 Miles;Europe;No;;11434,0-1 Miles,Europe,No;11434,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""11434"" }},";"{""data"": { ""id"":""11434"" }},"
25323;1-2 Miles;Europe;Yes;;25323,1-2 Miles,Europe,Yes;25323,1-2 Miles,Europe,Yes;;;;"{""data"": { ""id"":""25323"" }},";"{""data"": { ""id"":""25323"" }},"
23542;0-1 Miles;Pacific;Yes;;23542,0-1 Miles,Pacific,Yes;23542,0-1 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""23542"" }},";"{""data"": { ""id"":""23542"" }},"
20870;0-1 Miles;Europe;Yes;;20870,0-1 Miles,Europe,Yes;20870,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""20870"" }},";"{""data"": { ""id"":""20870"" }},"
23316;1-2 Miles;Pacific;Yes;;23316,1-2 Miles,Pacific,Yes;23316,1-2 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""23316"" }},";"{""data"": { ""id"":""23316"" }},"
12610;0-1 Miles;Europe;No;;12610,0-1 Miles,Europe,No;12610,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""12610"" }},";"{""data"": { ""id"":""12610"" }},"
27183;1-2 Miles;Europe;Yes;;27183,1-2 Miles,Europe,Yes;27183,1-2 Miles,Europe,Yes;;;;"{""data"": { ""id"":""27183"" }},";"{""data"": { ""id"":""27183"" }},"
25940;5-10 Miles;Pacific;Yes;;25940,5-10 Miles,Pacific,Yes;25940,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""25940"" }},";"{""data"": { ""id"":""25940"" }},"
25598;0-1 Miles;Europe;Yes;;25598,0-1 Miles,Europe,Yes;25598,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""25598"" }},";"{""data"": { ""id"":""25598"" }},"
21564;10+ Miles;Pacific;No;;21564,10+ Miles,Pacific,No;21564,10+ Miles,Pacific,No;;;;"{""data"": { ""id"":""21564"" }},";"{""data"": { ""id"":""21564"" }},"
19193;1-2 Miles;Europe;Yes;;19193,1-2 Miles,Europe,Yes;19193,1-2 Miles,Europe,Yes;;;;"{""data"": { ""id"":""19193"" }},";"{""data"": { ""id"":""19193"" }},"
26412;5-10 Miles;Europe;No;;26412,5-10 Miles,Europe,No;26412,5-10 Miles,Europe,No;;;;"{""data"": { ""id"":""26412"" }},";"{""data"": { ""id"":""26412"" }},"
27184;0-1 Miles;Europe;No;;27184,0-1 Miles,Europe,No;27184,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""27184"" }},";"{""data"": { ""id"":""27184"" }},"
12590;0-1 Miles;Europe;No;;12590,0-1 Miles,Europe,No;12590,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""12590"" }},";"{""data"": { ""id"":""12590"" }},"
17841;0-1 Miles;Europe;Yes;;17841,0-1 Miles,Europe,Yes;17841,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""17841"" }},";"{""data"": { ""id"":""17841"" }},"
18283;5-10 Miles;Pacific;No;;18283,5-10 Miles,Pacific,No;18283,5-10 Miles,Pacific,No;;;;"{""data"": { ""id"":""18283"" }},";"{""data"": { ""id"":""18283"" }},"
