ID;Marital Status;Gender;Income;Children;Education;Occupation;Home Owner;Cars;Commute Distance;Region;Age;Purchased Bike;ID für JSON Darstellung;Für JSON-Darstellung
12496;Married;Female;40000;1;Bachelors;Skilled Manual;Yes;0;0-1 Miles;Europe;42;No;"{""data"": { ""id"":""12496"" }},";"{""data"": { ""id"":""12496"" }},"
24107;Married;Male;30000;3;Partial College;Clerical;Yes;1;0-1 Miles;Europe;43;No;"{""data"": { ""id"":""24107"" }},";"{""data"": { ""id"":""24107"" }},"
14177;Married;Male;80000;5;Partial College;Professional;No;2;2-5 Miles;Europe;60;No;"{""data"": { ""id"":""14177"" }},";"{""data"": { ""id"":""14177"" }},"
24381;Single;Male;70000;0;Bachelors;Professional;Yes;1;5-10 Miles;Pacific;41;Yes;"{""data"": { ""id"":""24381"" }},";"{""data"": { ""id"":""24381"" }},"
25597;Single;Male;30000;0;Bachelors;Clerical;No;0;0-1 Miles;Europe;36;Yes;"{""data"": { ""id"":""25597"" }},";"{""data"": { ""id"":""25597"" }},"
13507;Married;Female;10000;2;Partial College;Manual;Yes;0;1-2 Miles;Europe;50;No;"{""data"": { ""id"":""13507"" }},";"{""data"": { ""id"":""13507"" }},"
27974;Single;Male;160000;2;High School;Management;Yes;4;0-1 Miles;Pacific;33;Yes;"{""data"": { ""id"":""27974"" }},";"{""data"": { ""id"":""27974"" }},"
19364;Married;Male;40000;1;Bachelors;Skilled Manual;Yes;0;0-1 Miles;Europe;43;Yes;"{""data"": { ""id"":""19364"" }},";"{""data"": { ""id"":""19364"" }},"
22155;Married;Male;20000;2;Partial High School;Clerical;Yes;2;5-10 Miles;Pacific;58;No;"{""data"": { ""id"":""22155"" }},";"{""data"": { ""id"":""22155"" }},"
19280;Married;Male;20000;2;Partial College;Manual;Yes;1;0-1 Miles;Europe;48;Yes;"{""data"": { ""id"":""19280"" }},";"{""data"": { ""id"":""19280"" }},"
22173;Married;Female;30000;3;High School;Skilled Manual;No;2;1-2 Miles;Pacific;54;Yes;"{""data"": { ""id"":""22173"" }},";"{""data"": { ""id"":""22173"" }},"
12697;Single;Female;90000;0;Bachelors;Professional;No;4;10+ Miles;Pacific;36;No;"{""data"": { ""id"":""12697"" }},";"{""data"": { ""id"":""12697"" }},"
11434;Married;Male;170000;5;Partial College;Professional;Yes;4;0-1 Miles;Europe;55;No;"{""data"": { ""id"":""11434"" }},";"{""data"": { ""id"":""11434"" }},"
25323;Married;Male;40000;2;Partial College;Clerical;Yes;1;1-2 Miles;Europe;35;Yes;"{""data"": { ""id"":""25323"" }},";"{""data"": { ""id"":""25323"" }},"
23542;Single;Male;60000;1;Partial College;Skilled Manual;No;1;0-1 Miles;Pacific;45;Yes;"{""data"": { ""id"":""23542"" }},";"{""data"": { ""id"":""23542"" }},"
20870;Single;Female;10000;2;High School;Manual;Yes;1;0-1 Miles;Europe;38;Yes;"{""data"": { ""id"":""20870"" }},";"{""data"": { ""id"":""20870"" }},"
23316;Single;Male;30000;3;Partial College;Clerical;No;2;1-2 Miles;Pacific;59;Yes;"{""data"": { ""id"":""23316"" }},";"{""data"": { ""id"":""23316"" }},"
12610;Married;Female;30000;1;Bachelors;Clerical;Yes;0;0-1 Miles;Europe;47;No;"{""data"": { ""id"":""12610"" }},";"{""data"": { ""id"":""12610"" }},"
27183;Single;Male;40000;2;Partial College;Clerical;Yes;1;1-2 Miles;Europe;35;Yes;"{""data"": { ""id"":""27183"" }},";"{""data"": { ""id"":""27183"" }},"
25940;Single;Male;20000;2;Partial High School;Clerical;Yes;2;5-10 Miles;Pacific;55;Yes;"{""data"": { ""id"":""25940"" }},";"{""data"": { ""id"":""25940"" }},"
25598;Married;Female;40000;0;Graduate Degree;Clerical;Yes;0;0-1 Miles;Europe;36;Yes;"{""data"": { ""id"":""25598"" }},";"{""data"": { ""id"":""25598"" }},"
21564;Single;Female;80000;0;Bachelors;Professional;Yes;4;10+ Miles;Pacific;35;No;"{""data"": { ""id"":""21564"" }},";"{""data"": { ""id"":""21564"" }},"
19193;Single;Male;40000;2;Partial College;Clerical;Yes;0;1-2 Miles;Europe;35;Yes;"{""data"": { ""id"":""19193"" }},";"{""data"": { ""id"":""19193"" }},"
26412;Married;Female;80000;5;High School;Management;No;3;5-10 Miles;Europe;56;No;"{""data"": { ""id"":""26412"" }},";"{""data"": { ""id"":""26412"" }},"
27184;Single;Male;40000;2;Partial College;Clerical;No;1;0-1 Miles;Europe;34;No;"{""data"": { ""id"":""27184"" }},";"{""data"": { ""id"":""27184"" }},"
12590;Single;Male;30000;1;Bachelors;Clerical;Yes;0;0-1 Miles;Europe;63;No;"{""data"": { ""id"":""12590"" }},";"{""data"": { ""id"":""12590"" }},"
17841;Single;Male;30000;0;Partial College;Clerical;No;1;0-1 Miles;Europe;29;Yes;"{""data"": { ""id"":""17841"" }},";"{""data"": { ""id"":""17841"" }},"
18283;Single;Female;100000;0;Bachelors;Professional;No;1;5-10 Miles;Pacific;40;No;"{""data"": { ""id"":""18283"" }},";"{""data"": { ""id"":""18283"" }},"
18299;Married;Male;70000;5;Partial College;Skilled Manual;Yes;2;5-10 Miles;Pacific;44;No;"{""data"": { ""id"":""18299"" }},";"{""data"": { ""id"":""18299"" }},"
16466;Single;Female;20000;0;Partial High School;Manual;No;2;0-1 Miles;Europe;32;Yes;"{""data"": { ""id"":""16466"" }},";"{""data"": { ""id"":""16466"" }},"
19273;Married;Female;20000;2;Partial College;Manual;Yes;0;0-1 Miles;Europe;63;No;"{""data"": { ""id"":""19273"" }},";"{""data"": { ""id"":""19273"" }},"
22400;Married;Male;10000;0;Partial College;Manual;No;1;0-1 Miles;Pacific;26;Yes;"{""data"": { ""id"":""22400"" }},";"{""data"": { ""id"":""22400"" }},"
20942;Single;Female;20000;0;High School;Manual;No;1;5-10 Miles;Europe;31;No;"{""data"": { ""id"":""20942"" }},";"{""data"": { ""id"":""20942"" }},"
18484;Single;Male;80000;2;High School;Skilled Manual;No;2;1-2 Miles;Pacific;50;Yes;"{""data"": { ""id"":""18484"" }},";"{""data"": { ""id"":""18484"" }},"
12291;Single;Male;90000;5;Partial College;Professional;No;2;2-5 Miles;Europe;62;Yes;"{""data"": { ""id"":""12291"" }},";"{""data"": { ""id"":""12291"" }},"
28380;Single;Female;10000;5;Partial High School;Manual;No;2;0-1 Miles;Europe;41;No;"{""data"": { ""id"":""28380"" }},";"{""data"": { ""id"":""28380"" }},"
17891;Married;Female;10000;2;Partial College;Manual;Yes;1;0-1 Miles;Europe;50;Yes;"{""data"": { ""id"":""17891"" }},";"{""data"": { ""id"":""17891"" }},"
